Company,Contact,Country
Alfreds Futterkiste,Maria Anders,Germany
Centro comercial Moctezuma,Francisco Chang,Mexico
Ernst Handel,Roland Mendel,Austria
Island Trading,Helen Bennett,UK
Laughing Bacchus Winecellars,Yoshi Tannamuri,Canada
Magazzini Alimentari Riuniti,Giovanni Rovelli,Italy
Tag,Description,
<table>,Defines a table,
<th>,Defines a header cell in a table,
<tr>,Defines a row in a table,
<td>,Defines a cell in a table,
<caption>,Defines a table caption,
<colgroup>,Specifies a group of one or more columns in a table for formatting,
<col>,Specifies column properties for each column within a <colgroup> element,
<thead>,Groups the header content in a table,
<tbody>,Groups the body content in a table,
<tfoot>,Groups the footer content in a table,
